customerkey,gender,name,city,state_code,state,zip_code,country,continent,birthday,age,age_group
7313,female,chelsea_keast,kanmantoo,sa,south_australia,5252,australia,australia,1990-01-26,36,36-45
7398,male,jonathan_thorpe,cooee_bay,qld,queensland,4703,australia,australia,1945-06-10,81,65+
7493,male,declan_torrens,noorindoo,qld,queensland,4417,australia,australia,1978-07-20,48,46-55
7494,male,ben_coventry,hyde_park,qld,queensland,4812,australia,australia,1967-04-02,59,56-65
7566,male,william_prenzel,killara,vic,victoria,3691,australia,australia,1993-07-01,33,26-35
7664,male,riley_gaffney,canowie,sa,south_australia,5419,australia,australia,1947-03-18,79,65+
7700,male,lucas_keenan,stanwell_tops,nsw,new_south_wales,2508,australia,australia,1975-01-27,51,46-55
7725,female,anna_prerauer,currimundi,qld,queensland,4551,australia,australia,1968-01-06,58,56-65
7783,female,charli_gullett,mount_wallace,vic,victoria,3342,australia,australia,1961-08-13,65,56-65
8098,female,alana_belt,south_greenough,wa,western_australia,6528,australia,australia,1967-01-26,59,56-65
8181,female,amelie_nairn,dartmouth,vic,victoria,3701,australia,australia,1985-07-08,41,36-45
8220,male,david_blanch,vista,sa,south_australia,5091,australia,australia,1945-07-29,81,65+
8789,female,layla_mackellar,kalkarindji,nt,northern_territory,852,australia,australia,1999-07-13,27,26-35
8794,female,abbey_lempriere,boulder_creek,qld,queensland,4714,australia,australia,1962-11-02,64,56-65
8945,female,summer_macmahon,warumbul,nsw,new_south_wales,2229,australia,australia,1939-06-28,87,65+
9167,male,luke_bushby,paracombe,sa,south_australia,5132,australia,australia,1975-12-02,51,46-55
9184,male,sam_zimpel,corunnun,vic,victoria,3249,australia,australia,1964-11-24,62,56-65
9360,male,mitchell_adam,moparrabah,nsw,new_south_wales,2440,australia,australia,1955-01-30,71,65+
9370,female,ruby_lock,cook,act,australian_capital_territory,2614,australia,australia,1953-05-26,73,65+
9389,female,eliza_brophy,yearinan,nsw,new_south_wales,2357,australia,australia,1956-04-08,70,65+
9456,male,ryder_abdullah,claredale,qld,queensland,4807,australia,australia,1941-05-21,85,65+
9812,female,kaitlyn_morshead,minjary,nsw,new_south_wales,2720,australia,australia,1953-01-23,73,65+
9915,female,ebony_buxton,seppings,wa,western_australia,6330,australia,australia,1991-11-10,35,26-35
10039,female,brianna_hann,nikenbah,qld,queensland,4655,australia,australia,1947-10-22,79,65+
10189,female,alexis_birchell,forest_reefs,nsw,new_south_wales,2798,australia,australia,1962-04-07,64,56-65
10276,male,angus_bardolph,bateau_bay,nsw,new_south_wales,2261,australia,australia,1972-11-01,54,46-55
10299,male,anthony_macvitie,beelbangera,nsw,new_south_wales,2680,australia,australia,1937-05-27,89,65+
10332,male,james_burnage,palmyra,wa,western_australia,6157,australia,australia,1937-03-26,89,65+
10393,male,nicholas_moncrieff,rosenthal_heights,qld,queensland,4370,australia,australia,1981-11-29,45,36-45
10395,male,cameron_dillon,stratherne,wa,western_australia,6309,australia,australia,1996-02-25,30,26-35
10481,female,piper_maudsley,cells_river,nsw,new_south_wales,2324,australia,australia,1977-04-17,49,46-55
10504,male,daniel_rusconi,south_datatine,wa,western_australia,6317,australia,australia,1980-10-22,46,46-55
10717,male,harrison_ingram,maya,wa,western_australia,6614,australia,australia,1981-06-16,45,36-45
11035,female,makayla_meldrum,kings_forest,nsw,new_south_wales,2487,australia,australia,1939-12-08,87,65+
11090,female,scarlett_scollen,silverwater,nsw,new_south_wales,2128,australia,australia,1953-01-20,73,65+
11587,male,andrew_fenbury,york,wa,western_australia,6302,australia,australia,1977-11-09,49,46-55
11736,female,summer_brownrigg,yarrabilba,qld,queensland,4207,australia,australia,1991-01-22,35,26-35
12084,male,toby_chauvel,galga,sa,south_australia,5308,australia,australia,1958-07-20,68,65+
12160,male,jett_creal,oakhurst,nsw,new_south_wales,2761,australia,australia,1956-09-05,70,65+
12162,female,eva_lavarack,whittington,vic,victoria,3219,australia,australia,1954-07-30,72,65+
12207,male,aiden_jull,ogmore,qld,queensland,4706,australia,australia,1955-11-30,71,65+
12256,female,lilly_lynn,rothbury,nsw,new_south_wales,2320,australia,australia,1991-03-07,35,26-35
12365,female,natalie_lyon,steeple_flat,nsw,new_south_wales,2631,australia,australia,1958-04-06,68,65+
12385,female,lily_gribble,overland_corner,sa,south_australia,5330,australia,australia,1981-06-10,45,36-45
12392,female,laura_waterhouse,greenhill,sa,south_australia,5140,australia,australia,1957-03-08,69,65+
12649,female,rose_raven,noble_park_north,vic,victoria,3174,australia,australia,1965-12-11,61,56-65
12729,male,xavier_sturdee,stannum,nsw,new_south_wales,2371,australia,australia,1937-10-14,89,65+
12810,male,patrick_newbigin,deer_park,vic,victoria,3023,australia,australia,1957-06-24,69,65+
12859,male,koby_rayment,nabawa,wa,western_australia,6532,australia,australia,1942-04-29,84,65+
12868,male,nathan_greville,mallala,sa,south_australia,5502,australia,australia,1961-03-12,65,56-65
13045,female,abbey_storkey,blue_mountain_heights,qld,queensland,4350,australia,australia,1957-10-19,69,65+
13071,female,claudia_fuller,cuballing,wa,western_australia,6311,australia,australia,1973-06-28,53,46-55
13232,female,maya_coates,unley_bc,sa,south_australia,5061,australia,australia,1985-08-12,41,36-45
13365,male,mitchell_cutlack,moonem,nsw,new_south_wales,2471,australia,australia,1961-01-02,65,56-65
13607,female,gemma_maum,mambray_creek,sa,south_australia,5495,australia,australia,1954-09-21,72,65+
14069,male,jacob_gairdner,rob_roy,nsw,new_south_wales,2360,australia,australia,1949-05-24,77,65+
14180,female,ava_lockyer,kalgoorlie,wa,western_australia,6430,australia,australia,1998-05-14,28,26-35
14275,female,dakota_dunshea,bentley,nsw,new_south_wales,2480,australia,australia,1979-05-02,47,46-55
14906,female,grace_houghton,boyer,tas,tasmania,7140,australia,australia,1982-11-16,44,36-45
14962,female,mackenzie_newell,crestwood,nsw,new_south_wales,2153,australia,australia,1936-04-05,90,65+
14988,female,emily_thirkell,wyndham_vale,vic,victoria,3024,australia,australia,1958-07-24,68,65+
15109,female,sara_marsden,whale_beach,nsw,new_south_wales,2107,australia,australia,1999-08-18,27,26-35
15385,male,harry_morgans,doongin,wa,western_australia,6409,australia,australia,1995-05-11,31,26-35
15391,female,elizabeth_horsley,marraweeney,vic,victoria,3669,australia,australia,1989-01-25,37,36-45
15569,female,chelsea_weekes,colac,vic,victoria,3250,australia,australia,1983-09-08,43,36-45
15718,female,natalie_tennant,dakenba,qld,queensland,4715,australia,australia,1957-02-20,69,65+
16193,female,isabelle_beggs,altona,sa,south_australia,5351,australia,australia,1964-05-10,62,56-65
16282,female,evie_kirkhope,reids_flat,nsw,new_south_wales,2586,australia,australia,2000-05-11,26,26-35
16716,female,abby_frater,kayuga,nsw,new_south_wales,2333,australia,australia,1987-12-16,39,36-45
17412,male,mitchell_kwok,victoria_park,wa,western_australia,6100,australia,australia,1969-08-31,57,56-65
17811,female,alicia_hoy,wattle_glen,vic,victoria,3096,australia,australia,1985-10-15,41,36-45
18067,male,rory_koerstz,mount_mckenzie,sa,south_australia,5353,australia,australia,1941-10-26,85,65+
18263,male,callum_semmens,rural_view,qld,queensland,4740,australia,australia,1978-06-01,48,46-55
18309,male,michael_vogt,fyans_creek,vic,victoria,3381,australia,australia,1992-01-07,34,26-35
18470,male,zac_pryor,gosford,nsw,new_south_wales,2250,australia,australia,1969-03-12,57,56-65
18493,male,george_kevin,tascott,nsw,new_south_wales,2250,australia,australia,1994-09-27,32,26-35
18714,male,ashton_aitken,pinwernying,wa,western_australia,6317,australia,australia,1972-08-13,54,46-55
18887,female,zara_castleton,boorolite,vic,victoria,3723,australia,australia,1978-11-25,48,46-55
19082,male,matthew_denman,ransome,qld,queensland,4154,australia,australia,1939-04-06,87,65+
19207,male,luke_casimaty,kurraca,vic,victoria,3518,australia,australia,1991-01-19,35,26-35
19404,male,cody_ohea,wynnum,qld,queensland,4178,australia,australia,1997-06-10,29,26-35
19534,female,leah_martin,tooborac,vic,victoria,3522,australia,australia,1964-12-13,62,56-65
19579,female,ava_reye,barcaldine,qld,queensland,4725,australia,australia,1949-10-16,77,65+
19726,female,victoria_daly,watanobbi,nsw,new_south_wales,2259,australia,australia,1973-01-28,53,46-55
19732,female,olivia_moresby,wappilka,sa,south_australia,5332,australia,australia,1981-08-31,45,36-45
19753,female,alyssa_solander,howth,tas,tasmania,7316,australia,australia,1995-10-21,31,26-35
19916,male,hunter_samuel,little_plain,nsw,new_south_wales,2360,australia,australia,1991-05-13,35,26-35
20069,male,jesse_parryokeden,gwindinup,wa,western_australia,6237,australia,australia,1980-11-24,46,46-55
20092,female,victoria_fitzsimmons,cambridge_gardens,nsw,new_south_wales,2747,australia,australia,1947-05-03,79,65+
20237,male,riley_montefiore,williamstown,vic,victoria,3016,australia,australia,1986-07-14,40,36-45
20623,female,eva_rendall,carlyle,vic,victoria,3685,australia,australia,1994-03-11,32,26-35
20802,male,ben_whitworth,polda,sa,south_australia,5670,australia,australia,1945-07-07,81,65+
20946,female,taylah_walstab,winthrop,wa,western_australia,6150,australia,australia,1999-11-04,27,26-35
21203,male,tristan_dobie,chartwell,vic,victoria,3030,australia,australia,1960-02-18,66,65+
21387,male,christian_hughes,cremorne,nsw,new_south_wales,2090,australia,australia,1970-01-26,56,56-65
21424,male,justin_tickell,heytesbury_lower,vic,victoria,3268,australia,australia,1940-07-29,86,65+
21460,female,kayla_de_beuzeville,glenlynn,wa,western_australia,6256,australia,australia,1957-11-01,69,65+
21523,male,jayden_rennie,swanhaven,nsw,new_south_wales,2540,australia,australia,1969-12-06,57,56-65
21575,male,zac_chumleigh,craigie,wa,western_australia,6025,australia,australia,1991-12-29,35,26-35
21654,female,amber_monger,parliament_house,sa,south_australia,5000,australia,australia,1950-02-03,76,65+
21819,female,matilda_blacklock,cleveland,tas,tasmania,7211,australia,australia,2000-06-18,26,26-35
21870,female,summer_gramp,beltana,sa,south_australia,5730,australia,australia,1991-11-23,35,26-35
22158,male,will_parer,church_point,nsw,new_south_wales,2105,australia,australia,1996-12-10,30,26-35
22384,male,jaxon_cox,pearce,act,australian_capital_territory,2607,australia,australia,1951-01-24,75,65+
22540,male,connor_ruwolt,bandya,wa,western_australia,6440,australia,australia,1989-06-12,37,36-45
22775,male,flynn_campion,needles,tas,tasmania,7304,australia,australia,1958-08-27,68,65+
22826,male,edward_putilin,ashfield,qld,queensland,4670,australia,australia,1976-09-25,50,46-55
23128,male,zane_sinclaire,summerlands,vic,victoria,3922,australia,australia,2000-01-02,26,26-35
23203,female,gemma_philipp,madora_bay,wa,western_australia,6210,australia,australia,1998-08-11,28,26-35
23267,female,gabrielle_zinnbauer,flinders_view,qld,queensland,4305,australia,australia,1954-04-18,72,65+
23320,female,samantha_weigel,wittenoom,wa,western_australia,6751,australia,australia,1960-04-15,66,65+
23431,female,grace_scarf,sheep_hills,vic,victoria,3392,australia,australia,1970-10-27,56,56-65
23599,female,maddison_blanc,forresters_beach,nsw,new_south_wales,2260,australia,australia,1989-10-12,37,36-45
23854,male,ali_wroblewski,murrawombie,nsw,new_south_wales,2825,australia,australia,1943-01-02,83,65+
24069,male,edward_carron,ulmarra,nsw,new_south_wales,2462,australia,australia,1985-05-20,41,36-45
24230,female,zoe_dadswell,davoren_park_south,sa,south_australia,5113,australia,australia,1979-10-26,47,46-55
24575,female,stella_omahony,placid_hills,qld,queensland,4343,australia,australia,2000-06-07,26,26-35
24920,female,natalie_robey,corny_point,sa,south_australia,5575,australia,australia,1938-04-17,88,65+
25308,female,angelina_kates,west_wiangaree,nsw,new_south_wales,2474,australia,australia,1987-03-12,39,36-45
25771,female,mikayla_shenton,boolcarroll,nsw,new_south_wales,2388,australia,australia,1959-07-26,67,65+
25864,male,zane_corkill,shirley,vic,victoria,3373,australia,australia,1995-05-05,31,26-35
25935,male,charlie_darcy,burnt_yards,nsw,new_south_wales,2792,australia,australia,1975-01-13,51,46-55
26458,male,george_creer,westbury,vic,victoria,3825,australia,australia,1979-04-28,47,46-55
26477,male,caleb_willshire,morisset,nsw,new_south_wales,2264,australia,australia,1959-11-05,67,65+
26642,male,noah_moloney,elizabeth_beach,nsw,new_south_wales,2428,australia,australia,1978-09-30,48,46-55
26728,female,gemma_allan,marrickville_south,nsw,new_south_wales,2204,australia,australia,1979-01-18,47,46-55
26906,male,xavier_mcphee,clemton_park,nsw,new_south_wales,2206,australia,australia,1974-06-16,52,46-55
26914,female,amelia_england,mount_cottrell,vic,victoria,3024,australia,australia,1940-10-10,86,65+
26970,female,rose_frater,bendigo_south,vic,victoria,3550,australia,australia,1990-11-12,36,36-45
27125,female,ashley_hornung,arno_bay,sa,south_australia,5603,australia,australia,1976-03-16,50,46-55
27210,male,liam_osborn,mootai,nsw,new_south_wales,2325,australia,australia,1973-07-02,53,46-55
27356,male,hamish_dhage,turramurra,nsw,new_south_wales,2074,australia,australia,1969-10-02,57,56-65
27432,female,mikayla_favenc,cleve,sa,south_australia,5640,australia,australia,1998-09-26,28,26-35
27492,female,bianca_coombe,yambuk,vic,victoria,3285,australia,australia,1987-11-04,39,36-45
27616,male,cameron_tebbutt,bannockburn,vic,victoria,3331,australia,australia,1987-05-17,39,36-45
27896,male,zachary_mcleish,jacup,wa,western_australia,6337,australia,australia,1973-10-17,53,46-55
27945,male,charlie_stralia,sofala,nsw,new_south_wales,2795,australia,australia,1974-05-20,52,46-55
28076,female,alannah_onus,avoca,tas,tasmania,7213,australia,australia,1979-01-02,47,46-55
28559,male,samuel_israel,yilki,sa,south_australia,5211,australia,australia,1968-12-07,58,56-65
28690,male,leo_walcott,millchester,qld,queensland,4820,australia,australia,1987-09-12,39,36-45
28702,female,charli_lhotsky,drewvale,qld,queensland,4116,australia,australia,1966-06-30,60,56-65
29041,male,logan_barling,lindenow,vic,victoria,3865,australia,australia,1937-11-14,89,65+
29278,male,justin_hartog,pinevale,qld,queensland,4754,australia,australia,1990-09-04,36,36-45
29303,male,max_cohn,kirton_point,sa,south_australia,5606,australia,australia,1983-05-01,43,36-45
29320,male,levi_barraclough,blackbutt,nsw,new_south_wales,2529,australia,australia,1938-10-14,88,65+
29475,female,madison_pocock,tuross,nsw,new_south_wales,2630,australia,australia,1965-07-03,61,56-65
29555,male,owen_edouard,glen_martin,nsw,new_south_wales,2321,australia,australia,1992-07-03,34,26-35
29593,male,liam_nettleton,bakara,sa,south_australia,5354,australia,australia,1995-08-18,31,26-35
29647,female,jessica_maynard,brenda,nsw,new_south_wales,2831,australia,australia,1956-05-28,70,65+
29689,female,alexis_phillipps,burwood_heights,nsw,new_south_wales,2136,australia,australia,1966-08-28,60,56-65
29812,male,marcus_napier,st_kilda_road_central,vic,victoria,3004,australia,australia,1966-11-19,60,56-65
29837,female,rebecca_jaques,mount_george,nsw,new_south_wales,2424,australia,australia,1938-08-14,88,65+
29973,female,lauren_langton,duckinwilla,qld,queensland,4650,australia,australia,1937-09-24,89,65+
30090,male,george_farrer,park_avenue,qld,queensland,4701,australia,australia,1960-10-07,66,65+
30278,female,madeleine_kiddle,jacana,vic,victoria,3047,australia,australia,1945-09-12,81,65+
30428,female,sienna_conrick,earlston,vic,victoria,3669,australia,australia,1999-12-01,27,26-35
31086,female,kate_snowden,wittenoom,wa,western_australia,6751,australia,australia,1985-01-30,41,36-45
31164,male,hunter_boehm,bowes,wa,western_australia,6535,australia,australia,1948-06-15,78,65+
31236,female,abby_warburton,three_bridges,vic,victoria,3797,australia,australia,1959-08-08,67,65+
31288,male,adam_banning,clay_wells,sa,south_australia,5280,australia,australia,1988-08-28,38,36-45
31374,female,ellie_griffin,st_agnes,sa,south_australia,5097,australia,australia,1960-12-02,66,65+
31721,female,alyssa_isaacs,gulfview_heights,sa,south_australia,5096,australia,australia,1961-01-19,65,56-65
31784,male,zac_scherk,wamban,nsw,new_south_wales,2537,australia,australia,1968-01-02,58,56-65
32037,male,aaron_knopwood,lake_mokoan,vic,victoria,3673,australia,australia,1989-02-14,37,36-45
32190,female,paige_lacey,delamere,sa,south_australia,5204,australia,australia,1954-10-28,72,65+
32259,female,ashley_dane,sevenhill,sa,south_australia,5453,australia,australia,1975-11-21,51,46-55
32294,male,kai_nepean,rite_island,qld,queensland,4807,australia,australia,1948-08-04,78,65+
32455,female,charlotte_crane,mosquito_creek,qld,queensland,4387,australia,australia,1997-05-09,29,26-35
32488,male,max_wylie,stafford_dc,qld,queensland,4053,australia,australia,1954-03-15,72,65+
32511,male,jasper_glassop,woodford,nsw,new_south_wales,2463,australia,australia,1964-02-29,62,56-65
32538,female,eva_hazon,boomoodeerie,nsw,new_south_wales,2469,australia,australia,1986-07-20,40,36-45
32939,female,alica_sizer,wongulla,sa,south_australia,5238,australia,australia,1951-06-09,75,65+
33036,male,tyler_galvin,byng,nsw,new_south_wales,2798,australia,australia,1959-07-31,67,65+
33205,male,andrew_hollway,crystal_brook,qld,queensland,4800,australia,australia,1943-01-10,83,65+
33444,male,brodie_thirkell,clayton,vic,victoria,3168,australia,australia,1968-01-09,58,56-65
34081,female,imogen_permewan,fyans_creek,vic,victoria,3381,australia,australia,1939-05-08,87,65+
34126,female,victoria_tasman,meningie_east,sa,south_australia,5264,australia,australia,1967-09-07,59,56-65
34143,male,john_gowlland,warranwood,vic,victoria,3134,australia,australia,1991-04-07,35,26-35
34431,male,leo_badger,beaconsfield,wa,western_australia,6162,australia,australia,1940-02-02,86,65+
34451,male,harry_edwin,gladstone,nsw,new_south_wales,2440,australia,australia,1972-11-01,54,46-55
34462,male,tyson_tishler,talaroo,qld,queensland,4871,australia,australia,1938-07-09,88,65+
34850,female,caitlin_ologhlin,blue_vale,nsw,new_south_wales,2380,australia,australia,1960-11-30,66,65+
34915,female,kate_byles,mount_crystal,nsw,new_south_wales,2665,australia,australia,1969-01-28,57,56-65
35257,female,ella_oxenham,fernhill,nsw,new_south_wales,2519,australia,australia,1970-02-20,56,56-65
35479,male,jeremy_petre,cossack,wa,western_australia,6720,australia,australia,1978-06-08,48,46-55
35703,male,rory_cotton,lugarno,nsw,new_south_wales,2210,australia,australia,1961-12-14,65,56-65
35733,female,charlotte_shaw,waroona,wa,western_australia,6215,australia,australia,1955-05-14,71,65+
35795,male,riley_clegg,moyarra,vic,victoria,3951,australia,australia,1995-08-07,31,26-35
36112,female,emma_gepp,annuello,vic,victoria,3549,australia,australia,1937-02-12,89,65+
36336,female,anna_burston,djarawong,qld,queensland,4854,australia,australia,1990-09-21,36,36-45
36418,female,jorja_whitlam,mount_david,nsw,new_south_wales,2795,australia,australia,1946-02-18,80,65+
36507,male,joseph_paten,golden_valley,tas,tasmania,7304,australia,australia,1955-03-23,71,65+
36816,male,luke_lazenby,longwarry_north,vic,victoria,3816,australia,australia,1971-05-18,55,46-55
36918,male,blake_mann,owen,sa,south_australia,5460,australia,australia,1982-11-06,44,36-45
37070,female,alyssa_hooker,wanganui,nsw,new_south_wales,2482,australia,australia,1981-07-18,45,36-45
37251,male,leo_scerri,gherang,vic,victoria,3240,australia,australia,1951-06-17,75,65+
37408,male,jaxon_rebell,torrens,act,australian_capital_territory,2607,australia,australia,1975-10-11,51,46-55
37580,female,mariam_baylee,tomahawk,tas,tasmania,7262,australia,australia,1942-01-12,84,65+
37585,female,lauren_fink,yelta,sa,south_australia,5558,australia,australia,1944-04-17,82,65+
37802,male,luke_byron,south_dudley,vic,victoria,3995,australia,australia,1990-07-09,36,36-45
37991,male,cooper_gillison,carwell,nsw,new_south_wales,2849,australia,australia,1937-01-06,89,65+
38006,male,lachlan_postle,dyraaba,nsw,new_south_wales,2470,australia,australia,1955-10-29,71,65+
38036,female,kiara_schaw,upper_yarraman,qld,queensland,4614,australia,australia,1960-07-26,66,65+
38183,male,hunter_montagu,new_italy,nsw,new_south_wales,2472,australia,australia,1944-07-30,82,65+
38195,female,sara_roe,paynedale,wa,western_australia,6239,australia,australia,1972-11-22,54,46-55
38212,female,stella_cain,wooroonook,vic,victoria,3525,australia,australia,1985-01-28,41,36-45
38558,female,audrey_bold,bostobrick,nsw,new_south_wales,2453,australia,australia,1946-05-19,80,65+
38613,male,hamish_mason,tacoma,nsw,new_south_wales,2259,australia,australia,1988-03-16,38,36-45
38865,male,christopher_edmund,windorah,qld,queensland,4481,australia,australia,1948-08-17,78,65+
38950,female,hannah_edmond,arthur_river,tas,tasmania,7330,australia,australia,1954-12-08,72,65+
39183,male,julian_gutteridge,kurmond,nsw,new_south_wales,2757,australia,australia,1973-04-25,53,46-55
39246,male,darcy_falconer,mandalay,qld,queensland,4802,australia,australia,1974-10-20,52,46-55
39268,female,madeleine_marx,kallangur,qld,queensland,4503,australia,australia,1975-07-24,51,46-55
39314,male,leo_ligar,light_pass,sa,south_australia,5355,australia,australia,1985-04-20,41,36-45
39498,female,amy_curtain,swanbrook,nsw,new_south_wales,2360,australia,australia,1996-08-13,30,26-35
39582,male,mason_therry,risdon,tas,tasmania,7017,australia,australia,1974-03-15,52,46-55
39592,female,alicia_muntz,south_springfield,tas,tasmania,7260,australia,australia,1965-04-20,61,56-65
39894,female,samantha_begg,junee,nsw,new_south_wales,2663,australia,australia,1941-02-26,85,65+
39927,male,bailey_barnet,sorell,tas,tasmania,7172,australia,australia,1984-05-15,42,36-45
39996,male,harry_dawes,bendoura,nsw,new_south_wales,2622,australia,australia,2001-05-09,25,18-25
40052,female,isabel_dettmann,waverton,nsw,new_south_wales,2060,australia,australia,1957-09-06,69,65+
40221,male,jonathan_hammond,para_hills_west,sa,south_australia,5096,australia,australia,2001-11-01,25,18-25
40327,female,madeleine_laing,pialligo,act,australian_capital_territory,2609,australia,australia,1940-08-23,86,65+
40363,female,alyssa_henslowe,double_bay,nsw,new_south_wales,2028,australia,australia,1984-07-08,42,36-45
40443,female,amber_normanby,carss_park,nsw,new_south_wales,2221,australia,australia,1938-04-13,88,65+
40649,male,kai_de_vis,kangiara,nsw,new_south_wales,2582,australia,australia,1972-11-29,54,46-55
40662,male,oliver_michie,mount_hicks,tas,tasmania,7325,australia,australia,1960-12-18,66,65+
40669,male,cody_wheare,martins_creek,nsw,new_south_wales,2420,australia,australia,1968-09-22,58,56-65
40741,male,leo_bussau,harlaxton,qld,queensland,4350,australia,australia,1937-06-13,89,65+
41281,male,lincoln_dalbertis,fitzgeralds_mount,nsw,new_south_wales,2799,australia,australia,1945-10-27,81,65+
41386,female,stephanie_grant,seal_bay,sa,south_australia,5223,australia,australia,1948-06-20,78,65+
41570,male,rory_brough,east_point,nt,northern_territory,820,australia,australia,1937-08-15,89,65+
41674,male,jonathan_hodges,north_lake_grace,wa,western_australia,6353,australia,australia,1938-03-04,88,65+
41707,male,joseph_wheeler,yallah,nsw,new_south_wales,2530,australia,australia,1957-04-19,69,65+
41892,female,madeline_eales,dargan,nsw,new_south_wales,2786,australia,australia,1983-01-09,43,36-45
42134,male,benjamin_ethel,east_yuna,wa,western_australia,6532,australia,australia,1942-09-22,84,65+
